epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4410.2,0.30629,0.22601,0.87321,0.96618,0.92874,0.9538,0.91882,0.34078,0.38401,0.88243,0.000176094,0.000176094,0.000176094
87,4461.36,0.31432,0.22539,0.88018,0.97123,0.93124,0.95794,0.91865,0.34627,0.38267,0.88891,0.000165095,0.000165095,0.000165095
88,4512.58,0.29876,0.21973,0.8721,0.9668,0.92735,0.95415,0.91872,0.32899,0.36959,0.87599,0.000154096,0.000154096,0.000154096
89,4563.59,0.29999,0.22294,0.86971,0.9635,0.93549,0.95717,0.92459,0.33059,0.35749,0.87746,0.000143097,0.000143097,0.000143097
90,4614.64,0.29478,0.21744,0.86588,0.96049,0.93569,0.96064,0.92424,0.33321,0.36232,0.87957,0.000132098,0.000132098,0.000132098
91,4678.6,0.23366,0.16651,0.80709,0.96406,0.92578,0.9538,0.91854,0.33892,0.36861,0.88463,0.000121099,0.000121099,0.000121099
92,4729.79,0.22775,0.16074,0.80863,0.96788,0.93293,0.95851,0.92217,0.33547,0.41147,0.88579,0.0001101,0.0001101,0.0001101
93,4781.07,0.22361,0.15897,0.80757,0.96307,0.92545,0.95914,0.92498,0.33939,0.40126,0.88613,9.91012e-05,9.91012e-05,9.91012e-05
94,4832.35,0.22342,0.1585,0.80587,0.96484,0.93235,0.96429,0.9311,0.32898,0.41654,0.88297,8.81023e-05,8.81023e-05,8.81023e-05
95,4883.31,0.22063,0.15713,0.80036,0.96669,0.93269,0.96482,0.93063,0.32855,0.40559,0.87999,7.71034e-05,7.71034e-05,7.71034e-05
96,4934.38,0.21665,0.15756,0.80476,0.97002,0.93462,0.96396,0.93063,0.32452,0.38424,0.87892,6.61045e-05,6.61045e-05,6.61045e-05
97,4985.4,0.21044,0.15262,0.80093,0.97053,0.93819,0.96395,0.93264,0.32218,0.35476,0.87801,5.51056e-05,5.51056e-05,5.51056e-05
98,5036.44,0.21022,0.15113,0.80151,0.97056,0.93981,0.96511,0.93453,0.32166,0.34946,0.88014,4.41067e-05,4.41067e-05,4.41067e-05
99,5087.63,0.21082,0.15085,0.80366,0.96991,0.93978,0.96582,0.93613,0.3191,0.35096,0.87721,3.31078e-05,3.31078e-05,3.31078e-05
100,5138.95,0.20311,0.1486,0.80274,0.96951,0.93979,0.9659,0.93679,0.31554,0.35428,0.87616,2.21089e-05,2.21089e-05,2.21089e-05
